participant_id,practice_dtd,dtd_15_85,dtd_60_40,decision_confidence_practice,decision_confidence_15_85,decision_confidence_60_40,first_conf_85_15,last_conf_85_15,first_conf_60_40,last_conf_60_40
PG45,9.25,8.7,5.9,81.2962991225,83.018521203,56.63889002,30.80802260669574,79.16624428780781,28.492466851228006,66.01270845468007
PG46,8.25,8.3,9.6,64.39814920500001,56.67989619857143,28.449075310625,29.9270094882275,78.53726652164684,27.657618642214135,64.93332640554883
PG47,5.25,4.6,8.3,98.75000141,96.231484589,92.25308924555556,31.600397789185735,79.07339602117752,29.02045062078552,65.26156316695017
PG48,10.25,8.2,9.6,87.43827725666667,77.879631608,60.80246992111111,32.5995666890265,79.17392958643269,29.760584547526562,65.1342830621467
PG49,3.25,3.1,4.2,71.1111121675,86.009262934,80.101852417,32.63226515069629,79.18539512954526,29.627394501445885,65.6374044760537
PG50,3.0,2.4,2.5,72.47685185,90.703703705,97.564814816,32.505553958012094,79.3829545347885,29.87073960826294,66.57582140638522
PG51,4.25,4.0,8.1,82.5231481475,88.675929882,61.731482611,33.627851779181825,79.64110098367755,30.47750118444186,66.51749350555036
PG52,5.25,7.5,8.1,73.8657439225,82.574077887,52.425926701,33.24626057333579,79.75862041033487,29.92401605347242,66.28910926266289
PG53,4.25,3.4,4.5,93.265188895,72.723897652,65.49743310599999,32.70409767635243,79.29734331215711,29.56781426023375,66.11409534273943
PG54,5.0,2.5,1.6,75.85648607249999,80.94444769200001,54.314816087,32.91812095229655,79.3566414618006,30.019711969018335,66.04995342362076
PG55,5.25,4.4,5.0,76.92129876749999,83.916669069,77.26337448444445,33.45503161650657,79.3270215795855,30.56885248539944,66.33379883639724
PG56,5.0,4.4,4.9,99.51389454,98.879634715,82.490743708,32.945519090829144,79.7819396275245,30.03790609760251,66.59687535174936
PG57,4.5,5.1,4.7,99.49074498,98.32304809333333,83.546298696,33.448912153043224,79.7781647307081,30.535407906975745,66.919327496642
PG58,3.25,4.0,8.5,86.2499996475,86.462965366,69.83539204555557,33.90775656245529,79.69972701065979,30.938308013656975,66.96152779559114
PG59,10.25,9.1,9.8,76.72839694666668,79.54629898099999,69.870373054,33.51319688078642,79.80501586749655,30.565583963573975,67.05705913362226
PG60,5.25,8.3,8.0,84.212965435,80.675929033,55.55555634111111,33.20945573220389,79.51390686987345,30.13692025541953,66.38268406754932
PG61,6.5,5.5,7.3,64.9305573225,71.259261238,34.2129636696,32.51666902304276,79.02373953263096,29.53312368796262,65.89084457705842
PG62,7.25,6.1,7.7,90.04983428,86.001718207,69.10500998333333,33.595339734283975,79.28799611147902,30.173987844538654,65.9193188640016
PG63,5.0,5.6,4.5,64.535137865,70.59574783299999,56.59620043,34.42180333042869,79.16107015714378,30.787717454116162,65.79107466906012
